date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:30	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267d1cd22-239b%22	https://jeffreytse.github.io/robots.txt		(from )
15:09:30	41128/41128	---M-Z	200	added ('OK')	text/html	etag:W/%226764da59-a0a8%22	https://jeffreytse.github.io/jekyll-theme-yat/	/home/troo/websites/jakyll%20theme/jeffreytse.github.io/jekyll-theme-yat/index.html	(from )
15:09:30	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	/home/troo/websites/jakyll%20theme/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://jeffreytse.github.io/jekyll-theme-yat/)
15:09:31	1391/1391	---M-Z	200	added ('OK')	text/css	etag:W/%2256f-ZoGpaQpgygB4LXg/j5R8xmaAR1Q%22	https://cdn.jsdelivr.net/npm/typeface-noto-sans@0.0.72/index.min.css	/home/troo/websites/jakyll%20theme/cdn.jsdelivr.net/npm/typeface-noto-sans@0.0.72/index.min.css	(from https://jeffreytse.github.io/jekyll-theme-yat/)
15:09:32	31071/31071	---M-Z	200	added ('OK')	text/css	etag:W/%226764da5a-795f%22	https://jeffreytse.github.io/jekyll-theme-yat/assets/css/main.css	/home/troo/websites/jakyll%20theme/jeffreytse.github.io/jekyll-theme-yat/assets/css/main.css	(from https://jeffreytse.github.io/jekyll-theme-yat/)
15:09:33	1654/1654	---M-Z	200	added ('OK')	application/javascript	etag:W/%226764da59-676%22	https://jeffreytse.github.io/jekyll-theme-yat/assets/js/main.js	/home/troo/websites/jakyll%20theme/jeffreytse.github.io/jekyll-theme-yat/assets/js/main.js	(from https://jeffreytse.github.io/jekyll-theme-yat/)
15:09:35	46538/46538	---M-Z	200	added ('OK')	application/xml	etag:W/%226764da59-b5ca%22	https://jeffreytse.github.io/jekyll-theme-yat/feed.xml	/home/troo/websites/jakyll%20theme/jeffreytse.github.io/jekyll-theme-yat/feed.xml	(from https://jeffreytse.github.io/jekyll-theme-yat/)
15:09:35	763/763	---M-Z	200	added ('OK')	text/css	etag:%225ee8f877-2fb%22	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.1.1/styles/default.min.css	/home/troo/websites/jakyll%20theme/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.1.1/styles/default.min.css	(from https://jeffreytse.github.io/jekyll-theme-yat/)
15:09:38	100242/100242	---M-Z	200	added ('OK')	application/javascript	etag:%225ee8f877-18792%22	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.1.1/highlight.min.js	/home/troo/websites/jakyll%20theme/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.1.1/highlight.min.js	(from https://jeffreytse.github.io/jekyll-theme-yat/)
15:09:38	978/978	---M-Z	200	added ('OK')	application/javascript	etag:%225ee8f877-3d2%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.1.1/languages/go.min.js	/home/troo/websites/jakyll%20theme/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.1.1/languages/go.min.js	(from https://jeffreytse.github.io/jekyll-theme-yat/)
15:09:38	13825/13825	---M-Z	200	added ('OK')	application/javascript	etag:%226423dc32-1104%22	http://cdnjs.cloudflare.com/ajax/libs/photoswipe/5.3.7/umd/photoswipe-lightbox.umd.min.js	/home/troo/websites/jakyll%20theme/cdnjs.cloudflare.com/ajax/libs/photoswipe/5.3.7/umd/photoswipe-lightbox.umd.min.js	(from https://jeffreytse.github.io/jekyll-theme-yat/)
